Nâng cấp bắt đầu: 10:39:18_25-03-2022
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/zalo/settings.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file api.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/css/font-awesome.min.css | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/css/rss.xsl | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/editors/ckeditor/LICENSE.md | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/editors/ckeditor/adapters/jquery.js | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/editors/ckeditor/build-config.js | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/editors/ckeditor/ckeditor.js | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/editors/ckeditor/config.js | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/editors/ckeditor/contents.css | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/editors/ckeditor/lang/en.js | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/editors/ckeditor/lang/fr.js | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/editors/ckeditor/lang/vi.js | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/editors/ckeditor/nv.css | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/editors/ckeditor/nv.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/editors/ckeditor/plugins/balloonpanel/skins/kama/balloonpanel.css | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/editors/ckeditor/plugins/balloonpanel/skins/moono/balloonpanel.css | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/editors/ckeditor/plugins/balloonpanel/skins/moono-lisa/balloonpanel.css | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/editors/ckeditor/plugins/clipboard/dialogs/paste.js | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/editors/ckeditor/plugins/codesnippet/dialogs/codesnippet.js | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/editors/ckeditor/plugins/colordialog/dialogs/colordialog.css | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/editors/ckeditor/plugins/colordialog/dialogs/colordialog.js | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/editors/ckeditor/plugins/copyformatting/styles/copyformatting.css | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/editors/ckeditor/plugins/dialog/dialogDefinition.js | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/editors/ckeditor/plugins/find/dialogs/find.js | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/editors/ckeditor/plugins/flash/dialogs/flash.js | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/editors/ckeditor/plugins/iframe/dialogs/iframe.js | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/editors/ckeditor/plugins/image2/dialogs/image2.js | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/editors/ckeditor/plugins/link/dialogs/anchor.js | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/editors/ckeditor/plugins/link/dialogs/link.js | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/editors/ckeditor/plugins/liststyle/dialogs/liststyle.js | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/editors/ckeditor/plugins/pastefromword/filter/default.js | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/editors/ckeditor/plugins/pastetools/filter/common.js | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/editors/ckeditor/plugins/pastetools/filter/image.js | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/editors/ckeditor/plugins/placeholder/dialogs/placeholder.js | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/editors/ckeditor/plugins/smiley/dialogs/smiley.js | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/editors/ckeditor/plugins/specialchar/dialogs/lang/en.js | SUCCESS
